city,country_code,latitude,longitude
aalen,DE,48.8375607,10.0929593
abanilla,ES,38.2058263,-1.0392384
ablis,FR,48.517153,1.8368758
abrera,ES,41.5204464,1.9024126
agnadello,IT,45.444374,9.557056
alicante,ES,38.3436365,-0.4881708
alizay,FR,49.3191616,1.1673742
altfeld,DE,49.8290787,9.5526423
alzenau,DE,50.085868,9.0813749
alzey,DE,49.7454561,8.1130036
amiens,FR,49.8941708,2.2956951
amt wachsenburg,DE,50.8651411,10.9143279
andernach,DE,50.4391924,7.4023145
andwil sg,CH,47.4384918,9.2720175
anzing,DE,48.1506375,11.8541298
ardon,FR,46.7739133,5.8881355
arnsdorf,DE,51.0970348,13.9934028
assevillers,FR,49.8973493,2.8343113
attendorn,DE,51.1250541,7.9010992
aubervilliers,FR,48.9146078,2.3821895
aulnay sous bois,FR,48.934231,2.499789
azuqueca de henares,ES,40.5683808,-3.2627134
bad bentheim,DE,52.3025609,7.16052
bad duben;,DE,51.5911653,12.5856428
bad fallingbostel,DE,52.8654484,9.6930195
bad friedrichshall,DE,49.2280136,9.2101479
bad langensalza,DE,51.1085823,10.6454374
balve,DE,51.3326498,7.8670563
baruth,DE,51.2254933,14.5902829
basse-ham,FR,49.385785,6.2433962
bazeilles,FR,49.6760402,4.9780162
beeskow,DE,52.1721569,14.2471058
berbersdorf,DE,51.009314,13.1738517
bergisch gladbach,DE,50.9929303,7.1277379
berlin,DE,52.5173885,13.3951309
bern,CH,46.9484742,7.4521749
bernburg,DE,51.7930788,11.7391606
bernkastel-kues,DE,49.9157398,7.0708181
bernsdorf,DE,51.3710839,14.0694111
besigheim - neckar,DE,48.9814607,9.1579528
bestwig,DE,51.3609508,8.4005554
beuzeville,FR,49.3455531,0.3427251
bexbach,DE,49.347299,7.2548948
biandronno,IT,45.8215121,8.713238
biebesheim am rhein,DE,49.7815684,8.4660576
bielany wroclawskie,PL,51.0392894,16.9686781
biesheim,FR,48.0408514,7.5448609
bietigheim-bissingen,DE,48.9493243,9.1364229
bingen,DE,49.9675456,7.8944
bitterfeld-wolfen,DE,51.6425032,12.3076334
blatná,CZ,49.4239848,13.8840972
blendecques,FR,50.7170841,2.2817948
blois,FR,47.5876861,1.3337639
bocholt,DE,51.8382715,6.6148669
bochum,DE,51.4818111,7.2196635
bogø by,DK,54.9232677,12.0528486
boigny sur bionne,FR,47.9231655,2.0075032
bondorf,DE,48.5215073,8.83361
bonin,PL,53.19553,15.35478
bonn,DE,50.7352621,7.1024635
bottrop,DE,51.521581,6.929204
boulazac,FR,45.1724869,0.7650348
bourges,FR,47.0811658,2.399125
boxberg,DE,50.2731793,6.8751755
brake,DE,53.3256109,8.4806296
brandis,DE,51.3346604,12.6089036
breidenbach,DE,50.87745,8.4373
breitenbach am herzberg,DE,50.7823862,9.4992057
breitenworbis,DE,51.4121013,10.427824
bremerhaven,DE,53.5505392,8.5851945
bresles,FR,49.4091281,2.2525151
bretzfeld,DE,49.1770367,9.4401632
briec,FR,48.1019452,-3.999718
brieselang,DE,52.588357,12.9958846
brilon,DE,51.3955721,8.5677743
brinkum,DE,53.2681305,7.5598707
brugge,BE,51.2085526,3.226772
brunsbüttel,DE,53.8972549,9.1395423
bruyères-sur-oise,FR,49.1573165,2.3301301
brétigny-sur-orge,FR,48.6099887,2.3075288
budaors,HU,47.4600185,18.9541818
budapest,HU,47.4978789,19.0402383
buggingen,DE,47.8469223,7.6388717
burbach,DE,50.1064362,6.5177176
burgos,ES,42.343926,-3.696977
burgwedel,DE,52.5,9.86667
bydgoszcz,PL,53.1297127,18.0294488
bystra,PL,49.7604679,19.0600025
böhlen,DE,51.2027284,12.3859676
bönen,DE,51.598077,7.7588538
büdingen,DE,50.2972353,9.0990829
bürstadt,DE,49.6531823,8.4747076
büttelborn,DE,49.9189,8.5337
cabanillas del campo,ES,40.6362915,-3.2337196
caen,FR,49.1813403,-0.3635615
cappelle-la-grande,FR,50.9977218,2.3677943
carentoir,FR,47.817757,-2.1362362
castel san giovanni,IT,45.0590671,9.4341783
castellbisbal,ES,41.4765136,1.9832978
castrop-rauxel,DE,51.5646195,7.3106175
cerro maggiore,IT,45.5930123,8.9513923
cesano maderno,IT,45.6283938,9.1467512
challerange,FR,49.3110058,4.745629
champagne,FR,45.831944,-0.906667
champagné,FR,48.0168,0.33179
champigneulles,FR,48.7342216,6.1651167
chatres,FR,48.7089097,2.8095273
chlastawa,PL,52.2440091,15.8344066
chojnów gmina,PL,52.0202515,21.0847575
cholet,FR,47.0617293,-0.8801359
choustník,CZ,49.332941,14.838389
châteaudun,FR,48.0702298,1.3284948
cloppenburg,DE,52.8461339,8.0438783
cm oosterhout (the netherlands),NL,51.6447493,4.8609931
cochem,DE,50.1483916,7.1663195
coesfeld,DE,51.9458943,7.1691108
combs-la-ville,FR,48.6646994,2.564877
compiègne,FR,49.4179497,2.8263171
comun nuovo,IT,45.6229111,9.6631272
condé-sur-vire,FR,49.0520765,-1.037915
corbetta,IT,45.4659366,8.9200896
coswig,DE,51.1267305,13.5783983
crailsheim,DE,49.1365626,10.0720195
csömör,HU,47.5489158,19.2242144
dahlwitz-hoppegarten,DE,52.5154517,13.6684822
damelevieres,FR,48.557112,6.3871266
delmenhorst,DE,53.048095,8.6286066
dettelbach,DE,49.8019103,10.1612139
diemelstadt,DE,51.4813132,8.992125
dietikon,CH,47.4050746,8.4030765
dietlikon,CH,47.4222808,8.6155979
dillenburg,DE,50.75211,8.31573
dingolfing,DE,48.6300801,12.4977434
dintikon,CH,47.3636287,8.2281106
dobroszyce,PL,51.26554,17.34535
dobříň,CZ,50.4376383,14.2936904
dolcè,IT,45.600689,10.852482
donnersdorf,DE,49.9703333,10.4186574
dortmund,DE,51.5142273,7.4652789
dortmund-eving,DE,51.5327099,7.4790944
douai,FR,50.3675677,3.0804641
dourges,FR,50.4340484,2.9844016
dresden,DE,51.0493286,13.7381437
duisburg,DE,51.434999,6.759562
dummerstorf,DE,54.0131361,12.2281926
düren,DE,50.8031684,6.4820806
düsseldorf,DE,51.2254018,6.7763137
eberdingen,DE,48.8791879,8.9655119
ebersbach an der fils,DE,48.7149061,9.5259189
