city,country_code
aalen,DE
abanilla,ES
ablis,FR
abrera,ES
agnadello,IT
alicante,ES
alizay,FR
altfeld,DE
alzenau,DE
alzey,DE
amiens,FR
amt wachsenburg,DE
andernach,DE
andwil sg,CH
anzing,DE
ardon,FR
arnsdorf,DE
assevillers,FR
attendorn,DE
aubervilliers,FR
aulnay sous bois,FR
azuqueca de henares,ES
bad bentheim,DE
bad duben;,DE
bad fallingbostel,DE
bad friedrichshall,DE
bad langensalza,DE
balve,DE
baruth,DE
basse-ham,FR
bazeilles,FR
beeskow,DE
berbersdorf,DE
bergisch gladbach,DE
berlin,DE
bern,CH
bernburg,DE
bernkastel-kues,DE
bernsdorf,DE
besigheim - neckar,DE
bestwig,DE
beuzeville,FR
bexbach,DE
biandronno,IT
biebesheim am rhein,DE
bielany wroclawskie,PL
biesheim,FR
bietigheim-bissingen,DE
bingen,DE
bitterfeld-wolfen,DE
blatná,CZ
blendecques,FR
blois,FR
bocholt,DE
bochum,DE
bogø by,DK
boigny sur bionne,FR
bondorf,DE
bonin,PL
bonn,DE
bottrop,DE
boulazac,FR
bourges,FR
boxberg,DE
brake,DE
brandis,DE
breidenbach,DE
breitenbach am herzberg,DE
breitenworbis,DE
bremerhaven,DE
bresles,FR
bretzfeld,DE
briec,FR
brieselang,DE
brilon,DE
brinkum,DE
brugge,BE
brunsbüttel,DE
bruyères-sur-oise,FR
brétigny-sur-orge,FR
budaors,HU
budapest,HU
buggingen,DE
burbach,DE
burgos,ES
burgwedel,DE
bydgoszcz,PL
bystra,PL
böhlen,DE
bönen,DE
büdingen,DE
bürstadt,DE
büttelborn,DE
cabanillas del campo,ES
caen,FR
cappelle-la-grande,FR
carentoir,FR
castel san giovanni,IT
castellbisbal,ES
castrop-rauxel,DE
cerro maggiore,IT
cesano maderno,IT
challerange,FR
champagne,FR
champagné,FR
champigneulles,FR
chatres,FR
chlastawa,PL
chojnów gmina,PL
cholet,FR
choustník,CZ
châteaudun,FR
cloppenburg,DE
cm oosterhout (the netherlands),NL
cochem,DE
coesfeld,DE
